,Passage 1,Passage 2,Passage 3,Passage 4,,,,,,,,,,,,,,,,,,,,,
Day 1,1 John 1,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,1 John 2,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,1 John 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,1 John 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,1 John 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,Matthew 1,Matthew 2,,,,,,,,,,,,,,,,,,,,,,,
Day 9,Matthew 3,Matthew 4,,,,,,,,,,,,,,,,,,,,,,,
Day 10,Matthew 5,Matthew 6,,,,,,,,,,,,,,,,,,,,,,,
Day 11,Matthew 7,,,,,,,,,,,,,,,,,,,,,,,,
Day 12,Psalm 1,Proverbs 1,,,,,,,,,,,,,,,,,,,,,,,
Day 13,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 14,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 15,Matthew 8,Matthew 9,,,,,,,,,,,,,,,,,,,,,,,
Day 16,Matthew 10,Matthew 11,,,,,,,,,,,,,,,,,,,,,,,
Day 17,Matthew 12,Matthew 13,,,,,,,,,,,,,,,,,,,,,,,
Day 18,Matthew 14,,,,,,,,,,,,,,,,,,,,,,,,
Day 19,Psalm 146,Proverbs 2,,,,,,,,,,,,,,,,,,,,,,,
Day 20,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 21,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 22,Matthew 15,Matthew 16,,,,,,,,,,,,,,,,,,,,,,,
Day 23,Matthew 17,Matthew 18,,,,,,,,,,,,,,,,,,,,,,,
Day 24,Matthew 19,Matthew 20,,,,,,,,,,,,,,,,,,,,,,,
Day 25,Matthew 21,,,,,,,,,,,,,,,,,,,,,,,,
Day 26,Psalm 150,Proverbs 3,,,,,,,,,,,,,,,,,,,,,,,
Day 27,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 28,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 29,Matthew 22,Matthew 23,,,,,,,,,,,,,,,,,,,,,,,
Day 30,Matthew 24,Matthew 25,,,,,,,,,,,,,,,,,,,,,,,
Day 31,Matthew 26,Matthew 27,,,,,,,,,,,,,,,,,,,,,,,
Day 32,Matthew 28,,,,,,,,,,,,,,,,,,,,,,,,
Day 33,Psalm 45,Proverbs 4,,,,,,,,,,,,,,,,,,,,,,,
Day 34,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 35,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 36,Romans 1,Romans 2,,,,,,,,,,,,,,,,,,,,,,,
Day 37,Romans 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 38,Romans 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 39,Romans 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 40,Psalm 14,Proverbs 5,,,,,,,,,,,,,,,,,,,,,,,
Day 41,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 42,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 43,Romans 6,Romans 7,,,,,,,,,,,,,,,,,,,,,,,
Day 44,Romans 8,,,,,,,,,,,,,,,,,,,,,,,,
Day 45,Romans 9,Romans 10,,,,,,,,,,,,,,,,,,,,,,,
Day 46,Romans 11,,,,,,,,,,,,,,,,,,,,,,,,
Day 47,Psalm 131,Proverbs 6,,,,,,,,,,,,,,,,,,,,,,,
Day 48,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 49,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 50,Romans 12,,,,,,,,,,,,,,,,,,,,,,,,
Day 51,Romans 13,,,,,,,,,,,,,,,,,,,,,,,,
Day 52,Romans 14,,,,,,,,,,,,,,,,,,,,,,,,
Day 53,Romans 15,Romans 16,,,,,,,,,,,,,,,,,,,,,,,
Day 54,Psalm 143,Proverbs 7,,,,,,,,,,,,,,,,,,,,,,,
Day 55,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 56,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 57,Genesis 1,Genesis 2,Genesis 3,,,,,,,,,,,,,,,,,,,,,,
Day 58,Genesis 5,Genesis 6,,,,,,,,,,,,,,,,,,,,,,,
Day 59,Genesis 7,Genesis 8,Genesis 9,,,,,,,,,,,,,,,,,,,,,,
Day 60,Genesis 10,Genesis 11,,,,,,,,,,,,,,,,,,,,,,,
Day 61,Psalm 131,Proverbs 6,,,,,,,,,,,,,,,,,,,,,,,
Day 62,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 63,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 64,Genesis 12,Genesis 13,Genesis 14,Hebrews 7,,,,,,,,,,,,,,,,,,,,,
Day 65,Genesis 15,Genesis 16,Genesis 17,,,,,,,,,,,,,,,,,,,,,,
Day 66,Genesis 18,Genesis 19,Genesis 20,,,,,,,,,,,,,,,,,,,,,,
Day 67,Genesis 21,Genesis 22,Genesis 23,,,,,,,,,,,,,,,,,,,,,,
Day 68,Psalm 110,Proverbs 9,,,,,,,,,,,,,,,,,,,,,,,
Day 69,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 70,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,Genesis 24,Genesis 25,Genesis 26,,,,,,,,,,,,,,,,,,,,,,
Day 72,Genesis 27,Genesis 28,Genesis 29,,,,,,,,,,,,,,,,,,,,,,
Day 73,Genesis 30,Genesis 31,Genesis 32,,,,,,,,,,,,,,,,,,,,,,
Day 74,Genesis 33,Genesis 34,Genesis 35,,,,,,,,,,,,,,,,,,,,,,
Day 75,Genesis 36,Psalm 62,Proverbs 10,,,,,,,,,,,,,,,,,,,,,,
Day 76,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 77,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 78,Genesis 37,Genesis 38,Genesis 39,,,,,,,,,,,,,,,,,,,,,,
Day 79,Genesis 40,Genesis 41,Genesis 42,,,,,,,,,,,,,,,,,,,,,,
Day 80,Genesis 43,Genesis 44,Genesis 45,,,,,,,,,,,,,,,,,,,,,,
Day 81,Genesis 46,Genesis 47,Genesis 48,,,,,,,,,,,,,,,,,,,,,,
Day 82,Genesis 49,Genesis 50,Psalm 4,Proverbs 11,,,,,,,,,,,,,,,,,,,,,
Day 83,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 84,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 85,John 1,John 2,,,,,,,,,,,,,,,,,,,,,,,
Day 86,John 3,John 4,,,,,,,,,,,,,,,,,,,,,,,
Day 87,John 5,John 6,,,,,,,,,,,,,,,,,,,,,,,
Day 88,John 7,,,,,,,,,,,,,,,,,,,,,,,,
Day 89,Psalm 100,Proverbs 12,,,,,,,,,,,,,,,,,,,,,,,
Day 90,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 91,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 92,John 8,John 9,,,,,,,,,,,,,,,,,,,,,,,
Day 93,John 10,John 11,,,,,,,,,,,,,,,,,,,,,,,
Day 94,John 12,John 13,,,,,,,,,,,,,,,,,,,,,,,
Day 95,John 14,,,,,,,,,,,,,,,,,,,,,,,,
Day 96,Psalm 69,Proverbs 13,,,,,,,,,,,,,,,,,,,,,,,
Day 97,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 98,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 99,John 15,John 16,,,,,,,,,,,,,,,,,,,,,,,
Day 100,John 17,John 18,,,,,,,,,,,,,,,,,,,,,,,
Day 101,John 19,John 20,,,,,,,,,,,,,,,,,,,,,,,
Day 102,John 21,,,,,,,,,,,,,,,,,,,,,,,,
Day 103,Psalm 16,Proverbs 14,,,,,,,,,,,,,,,,,,,,,,,
Day 104,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 105,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 106,James 1,,,,,,,,,,,,,,,,,,,,,,,,
Day 107,James 2,James 3,,,,,,,,,,,,,,,,,,,,,,,
Day 108,James 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 109,James 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 110,Psalm 111,Proverbs 15,,,,,,,,,,,,,,,,,,,,,,,
Day 111,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 112,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 113,Philippians 1,,,,,,,,,,,,,,,,,,,,,,,,
Day 114,Philippians 2,,,,,,,,,,,,,,,,,,,,,,,,
Day 115,Philippians 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 116,Philippians 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 117,Psalm 41,Proverbs 16,,,,,,,,,,,,,,,,,,,,,,,
Day 118,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 119,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 120,Exodus 1,Exodus 2,Exodus 3,,,,,,,,,,,,,,,,,,,,,,
Day 121,Exodus 4,Exodus 5,Exodus 6,,,,,,,,,,,,,,,,,,,,,,
Day 122,Exodus 7,Exodus 8,Exodus 9,,,,,,,,,,,,,,,,,,,,,,
Day 123,Exodus 10,Exodus 11,Exodus 12,,,,,,,,,,,,,,,,,,,,,,
Day 124,Psalm 77,Proverbs 18,,,,,,,,,,,,,,,,,,,,,,,
Day 125,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 126,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 127,Exodus 13,Exodus 14,,,,,,,,,,,,,,,,,,,,,,,
Day 128,Exodus 15,Exodus 16,,,,,,,,,,,,,,,,,,,,,,,
Day 129,Exodus 18,Exodus 17,,,,,,,,,,,,,,,,,,,,,,,
Day 130,Exodus 19,Exodus 20,,,,,,,,,,,,,,,,,,,,,,,
Day 131,Psalm 136,Proverbs 19,,,,,,,,,,,,,,,,,,,,,,,
Day 132,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 133,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 134,Exodus 24,Exodus 31,,,,,,,,,,,,,,,,,,,,,,,
Day 135,Exodus 32,Exodus 33,,,,,,,,,,,,,,,,,,,,,,,
Day 136,Exodus 34,Exodus 35,,,,,,,,,,,,,,,,,,,,,,,
Day 137,Exodus 36,Exodus 40,,,,,,,,,,,,,,,,,,,,,,,
Day 138,Psalm 30,Proverbs 20,,,,,,,,,,,,,,,,,,,,,,,
Day 139,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 140,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 141,1 Peter 1,1 Peter 2,,,,,,,,,,,,,,,,,,,,,,,
Day 142,1 Peter 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 143,1 Peter 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 144,1 Peter 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 145,Psalm 13,Proverbs 21,,,,,,,,,,,,,,,,,,,,,,,
Day 146,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 147,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 148,Galatians 1,Galatians 2,,,,,,,,,,,,,,,,,,,,,,,
Day 149,Galatians 3,Galatians 4,,,,,,,,,,,,,,,,,,,,,,,
Day 150,Galatians 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 151,Galatians 6,,,,,,,,,,,,,,,,,,,,,,,,
Day 152,Psalm 5,Proverbs 22,,,,,,,,,,,,,,,,,,,,,,,
Day 153,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 154,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 155,1 Timothy 1,1 Timothy 2,,,,,,,,,,,,,,,,,,,,,,,
Day 156,1 Timothy 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 157,1 Timothy 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 158,1 Timothy 5,1 Timothy 6,,,,,,,,,,,,,,,,,,,,,,,
Day 159,Psalm 56,Proverbs 23,,,,,,,,,,,,,,,,,,,,,,,
Day 160,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 161,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 162,Leviticus 8,,,,,,,,,,,,,,,,,,,,,,,,
Day 163,Leviticus 9,,,,,,,,,,,,,,,,,,,,,,,,
Day 164,Leviticus 10,,,,,,,,,,,,,,,,,,,,,,,,
Day 165,Leviticus 16,,,,,,,,,,,,,,,,,,,,,,,,
Day 166,Psalm 15,,,,,,,,,,,,,,,,,,,,,,,,
Day 167,Proverbs 24,,,,,,,,,,,,,,,,,,,,,,,,
Day 168,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 169,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 170,Leviticus 19,,,,,,,,,,,,,,,,,,,,,,,,
Day 171,Leviticus 23,,,,,,,,,,,,,,,,,,,,,,,,
Day 172,Leviticus 25,Luke 4:18-21,,,,,,,,,,,,,,,,,,,,,,,
Day 173,Leviticus 26,,,,,,,,,,,,,,,,,,,,,,,,
Day 174,Psalm 103,Proverbs 25,,,,,,,,,,,,,,,,,,,,,,,
Day 175,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 176,Lord'sDay,,,,,,,,,,,,,,,,,,,,,,,,
Day 177,1 Thessalonians 1,1 Thessalonians 2,,,,,,,,,,,,,,,,,,,,,,,
Day 178,1 Thessalonians 3,,,,,,,,,,,,,,,,,,,,,,,,
Day 179,1 Thessalonians 4,,,,,,,,,,,,,,,,,,,,,,,,
Day 180,1 Thessalonians 5,,,,,,,,,,,,,,,,,,,,,,,,
Day 181,Psalm 41,,,,,,,,,,,,,,,,,,,,,,,,
Day 182,Proverbs 26,,,,,,,,,,,,,,,,,,,,,,,,
Day 183,GraceDay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
